age,gender,education,occupation,organization_type,seniority,annual_income,disposable_income,house_type,vehicle_type,marital_status,no_card,default
59,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,434275,42901,Rented,Four Wheeler,Single,0,0
26,Female,Under Graduate,Business,None,None,337332,23439,Rented,None,Married,0,0
29,Male,Post Graduate,Salaried,None,Entry,247650,9659,Rented,None,Married,0,0
38,Female,Graduate,Professional,None,None,406039,21991,Owned,None,Single,1,0
30,Female,Post Graduate,Salaried,Tier 3,Entry,106481,7832,Rented,None,Married,1,0
28,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,104411,7475,Owned,None,Married,0,0
36,Male,Graduate,Salaried,Tier 2,Mid-level 1,98213,8090,Rented,Two Wheeler,Single,2,0
57,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,110440,24499,Rented,None,Married,1,0
33,Male,Under Graduate,Business,None,None,393667,16244,Rented,None,Married,0,0
27,Female,Graduate,Salaried,None,Mid-level 1,676150,27295,Family,None,Single,1,0
29,Female,Post Graduate,Salaried,None,Mid-level 1,105407,19268,Rented,Two Wheeler,Married,1,0
37,Male,Post Graduate,Professional,None,None,300424,14889,Family,Four Wheeler,Married,0,0
29,Male,Post Graduate,Salaried,Tier 2,Entry,459745,41341,Rented,Two Wheeler,Married,0,0
47,Male,Post Graduate,Student,None,None,413812,24656,Rented,None,Single,0,0
57,Male,Graduate,Business,None,None,452758,24926,Owned,Two Wheeler,Single,2,0
34,Male,Under Graduate,Professional,None,None,478349,20119,Rented,None,Married,0,0
25,Male,Graduate,Salaried,None,Entry,414365,20030,Family,Two Wheeler,Married,2,0
25,Male,Graduate,Salaried,Tier 2,Entry,437204,32382,Rented,None,Single,1,0
27,Male,Post Graduate,Salaried,Tier 1,Mid-level 1,141828,10913,Rented,None,Married,1,0
39,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,139661,23451,Rented,None,Married,1,0
26,Female,Graduate,Business,None,None,98830,1972,Rented,Two Wheeler,Married,2,0
23,Male,Graduate,Salaried,None,Mid-level 1,486370,5671,Rented,None,Single,0,0
64,Male,Graduate,Salaried,None,Mid-level 1,141887,1822,Owned,None,Married,1,0
29,Male,Graduate,Salaried,None,Junior,55407,26286,Owned,None,Other,2,0
34,Male,Under Graduate,Salaried,Tier 3,Mid-level 1,108533,15572,Rented,Two Wheeler,Married,1,0
51,Male,Graduate,Salaried,None,Mid-level 1,155218,8815,Rented,Two Wheeler,Married,0,0
33,Male,Under Graduate,Salaried,Tier 2,Mid-level 1,293598,2918,Rented,Two Wheeler,Married,1,1
23,Female,Under Graduate,Salaried,None,Junior,283026,15670,Rented,None,Single,0,1
18,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,414486,32196,Owned,None,Single,1,0
25,Male,Other,Salaried,None,Junior,392350,3596,Rented,None,Married,0,0
26,Male,Post Graduate,Salaried,Tier 2,Mid-level 1,173701,4517,Rented,None,Married,0,0
29,Male,Post Graduate,Salaried,None,Mid-level 1,102603,13826,Rented,None,Married,2,0
25,Female,Post Graduate,Salaried,None,Entry,281955,8751,Rented,None,Married,0,0
27,Male,Graduate,Salaried,Tier 3,Junior,435682,21603,Rented,None,Married,1,0
27,Female,Graduate,Salaried,None,Mid-level 1,293091,22108,Rented,None,Married,0,0
22,Female,Graduate,Business,None,None,108914,39714,Rented,None,Single,0,0
27,Female,Graduate,Professional,None,None,340343,38390,Rented,None,Single,0,0
26,Male,Graduate,Salaried,None,Mid-level 1,239041,17587,Rented,Two Wheeler,Married,2,0
29,Male,Post Graduate,Salaried,None,Junior,276917,16081,Owned,None,Married,0,0
29,Female,Graduate,Salaried,None,Junior,259657,9403,Rented,None,Married,0,0
38,Male,Graduate,Salaried,None,Mid-level 1,174216,10401,Rented,Two Wheeler,Married,0,0
27,Male,Graduate,Business,None,None,139418,30154,Rented,None,Single,1,0
24,Male,Graduate,Business,None,None,283276,32880,Rented,None,Single,0,0
28,Female,Graduate,Salaried,Tier 2,Mid-level 1,234467,20656,Rented,None,Single,1,0
29,Female,Graduate,Salaried,Tier 2,Junior,263359,22528,Rented,None,Married,1,0
27,Male,Graduate,Salaried,Tier 2,Junior,283606,8836,Owned,None,Single,1,0
58,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,328638,11079,Company provided,None,Married,0,0
28,Female,Post Graduate,Business,None,None,70863,8749,Family,None,Married,1,0
24,Female,Graduate,Salaried,Tier 2,Junior,306334,30385,Rented,None,Married,2,0
29,Female,Post Graduate,Salaried,Tier 2,Junior,245521,22306,Owned,None,Married,0,0
25,Male,Graduate,Professional,None,None,174140,4404,Rented,None,Married,0,0
22,Male,Post Graduate,Professional,None,None,179919,16772,Owned,Two Wheeler,Married,0,0
30,Female,Graduate,Salaried,Tier 2,Entry,273345,13624,Owned,None,Other,1,0
31,Female,Graduate,Salaried,Tier 3,Mid-level 1,226309,28282,Rented,None,Single,0,0
27,Male,Under Graduate,Salaried,Tier 3,Entry,70282,12004,Rented,None,Single,0,1
32,Female,Other,Salaried,None,Mid-level 1,142894,10748,Rented,None,Married,0,0
29,Female,Post Graduate,Professional,None,None,296003,41947,Owned,None,Single,0,0
24,Male,Post Graduate,Professional,None,None,90730,12805,Family,None,Single,0,0
27,Female,Graduate,Salaried,None,Mid-level 1,287772,11196,Rented,None,Married,2,0
18,Female,Graduate,Salaried,Tier 2,Junior,438873,4924,Rented,Two Wheeler,Single,0,0
27,Female,Under Graduate,Business,None,None,276266,18806,Rented,None,Married,0,0
18,Male,Under Graduate,Salaried,None,Junior,118786,46755,Rented,None,Married,1,0
32,Male,Graduate,Salaried,Tier 3,Mid-level 1,447711,15907,Rented,None,Married,2,0
28,Male,Graduate,Professional,None,None,385093,19537,Rented,None,Married,1,0
26,Male,Graduate,Salaried,None,Entry,56315,33021,Rented,Two Wheeler,Married,0,0
28,Male,Under Graduate,Business,None,None,124859,14600,Rented,Two Wheeler,Married,1,0
28,Female,Post Graduate,Business,None,None,150164,18205,Owned,None,Married,2,0
27,Male,Graduate,Salaried,None,Mid-level 1,189965,23421,Rented,None,Married,2,0
27,Male,Post Graduate,Salaried,Tier 3,Junior,281102,38107,Owned,Two Wheeler,Married,2,0
27,Female,Post Graduate,Business,None,None,418485,1047,Owned,None,Married,1,0
25,Female,Post Graduate,Business,None,None,431799,3578,Owned,None,Married,0,1
28,Male,Graduate,Salaried,Tier 3,Junior,152419,4345,Rented,None,Single,0,0
29,Male,Graduate,Salaried,None,Mid-level 1,283170,10376,Rented,Two Wheeler,Married,0,0
25,Male,Post Graduate,Student,None,None,419169,10206,Rented,None,Other,0,0
20,Female,Graduate,Salaried,Tier 2,Entry,588331,24675,Rented,None,Single,0,0
26,Male,Under Graduate,Salaried,Tier 3,Entry,961270,45122,Rented,None,Married,1,0
29,Male,Post Graduate,Salaried,None,Entry,106312,30969,Owned,None,Married,0,0
40,Male,Post Graduate,Salaried,None,Mid-level 1,424863,3137,Rented,None,Married,0,0
25,Female,Graduate,Business,None,None,585892,48938,Company provided,Two Wheeler,Single,0,0
37,Male,Graduate,Professional,None,None,195548,43806,Rented,None,Married,1,0
53,Male,Graduate,Professional,None,None,173443,5776,Rented,None,Married,2,1
24,Male,Graduate,Salaried,None,Entry,210624,23173,Rented,None,Married,2,0
29,Female,Graduate,Salaried,Tier 3,Entry,435911,11458,Rented,None,Married,0,0
26,Male,Graduate,Salaried,None,Mid-level 1,171173,44080,Company provided,Two Wheeler,Married,0,0
38,Male,Other,Salaried,Tier 1,Mid-level 1,544163,36295,Rented,None,Married,0,1
29,Female,Post Graduate,Salaried,Tier 1,Entry,89120,11715,Rented,None,Married,0,0
29,Male,Graduate,Professional,None,None,443828,11041,Rented,None,Married,0,0
57,Male,Graduate,Business,None,None,71902,25332,Rented,None,Single,0,0
25,Female,Graduate,Salaried,None,Mid-level 1,116766,19723,Rented,None,Married,0,0
28,Male,Post Graduate,Salaried,Tier 2,Entry,52514,33602,Rented,Two Wheeler,Married,0,0
28,Male,Graduate,Business,None,None,256756,1992,Rented,Two Wheeler,Single,0,0
55,Male,Graduate,Salaried,None,Senior,740183,43490,Company provided,Two Wheeler,Married,1,0
35,Male,Under Graduate,Salaried,None,Mid-level 1,156936,44398,Rented,None,Other,0,0
28,Male,Graduate,Business,None,None,363979,8008,Family,Two Wheeler,Single,2,0
53,Female,Under Graduate,Business,None,None,401599,4583,Company provided,None,Single,1,0
31,Male,Graduate,Salaried,Tier 3,Mid-level 1,220604,21145,Rented,None,Single,0,0
20,Male,Graduate,Salaried,None,Junior,309834,13965,Family,None,Single,1,0
28,Male,Graduate,Salaried,Tier 3,Mid-level 1,160770,7470,Company provided,Two Wheeler,Other,0,0
29,Male,Post Graduate,Business,None,None,133829,5127,Owned,None,Single,0,0
18,Male,Post Graduate,Student,None,None,281058,19158,Rented,Two Wheeler,Single,0,0
32,Male,Under Graduate,Salaried,Tier 2,Mid-level 1,113419,20843,Rented,None,Married,1,0
38,Female,Post Graduate,Salaried,None,Mid-level 1,61125,8034,Rented,Two Wheeler,Married,0,0
27,Female,Post Graduate,Salaried,Tier 2,Junior,309178,18622,Family,None,Married,0,0
28,Male,Post Graduate,Salaried,None,Junior,161282,21490,Rented,None,Married,2,0
26,Male,Post Graduate,Student,None,None,192457,7489,Family,Four Wheeler,Single,2,0
25,Female,Post Graduate,Business,None,None,64521,32746,Rented,None,Single,0,0
28,Female,Other,Salaried,None,Junior,185000,38680,Owned,None,Other,0,0
25,Female,Graduate,Business,None,None,437117,18298,Family,Four Wheeler,Married,0,0
34,Male,Graduate,Business,None,None,365761,19805,Owned,None,Married,0,0
39,Male,Graduate,Business,None,None,398357,8179,Owned,None,Married,0,0
28,Male,Post Graduate,Business,None,None,363261,49541,Rented,None,Married,1,0
33,Female,Graduate,Business,None,None,387455,11164,Company provided,None,Single,0,0
29,Male,Under Graduate,Business,None,None,504528,39927,Rented,None,Married,1,0
34,Male,Graduate,Salaried,Tier 3,Mid-level 1,143979,22422,Owned,None,Married,0,0
29,Male,Post Graduate,Salaried,Tier 3,Entry,309950,24192,Rented,None,Married,1,0
36,Female,Post Graduate,Salaried,Tier 3,Mid-level 1,335811,32154,Rented,None,Married,0,0
27,Male,Graduate,Salaried,None,Entry,942427,45423,Rented,Two Wheeler,Married,0,0
29,Female,Other,Salaried,Tier 3,Mid-level 1,371070,17704,Owned,None,Married,0,0
25,Male,Under Graduate,Salaried,None,Junior,172812,23365,Rented,Two Wheeler,Single,0,0
32,Male,Graduate,Professional,None,None,280905,4942,Family,None,Married,1,0
27,Male,Graduate,Salaried,Tier 2,Junior,124807,46824,Rented,Two Wheeler,Married,1,0
25,Female,Post Graduate,Salaried,Tier 3,Entry,268634,12782,Rented,None,Married,1,0
23,Male,Other,Professional,None,None,416083,47836,Family,None,Married,1,0
22,Male,Graduate,Professional,None,None,323967,1160,Rented,None,Married,0,0
25,Male,Post Graduate,Salaried,Tier 3,Entry,145491,18946,Family,None,Married,0,0
29,Male,Other,Business,None,None,297619,16553,Rented,None,Married,0,0
28,Male,Other,Salaried,None,Junior,150236,15069,Owned,None,Married,0,0
27,Male,Graduate,Business,None,None,397697,1379,Family,None,Married,2,0
25,Male,Graduate,Salaried,None,Entry,582415,20126,Owned,Two Wheeler,Other,0,0
26,Female,Other,Salaried,Tier 2,Entry,443807,14351,Rented,None,Single,1,0
28,Male,Post Graduate,Professional,None,None,165273,28331,Owned,None,Married,1,0
29,Male,Post Graduate,Salaried,Tier 2,Mid-level 1,202604,3307,Family,None,Other,0,0
28,Male,Under Graduate,Professional,None,None,282981,13036,Rented,Two Wheeler,Married,0,0
27,Male,Post Graduate,Salaried,None,Junior,270168,5983,Family,None,Married,0,0
28,Male,Post Graduate,Salaried,Tier 1,Junior,100355,25715,Owned,None,Single,0,0
27,Female,Under Graduate,Professional,None,None,384172,31481,Rented,None,Married,2,0
25,Male,Graduate,Salaried,Tier 3,Junior,126448,22848,Rented,None,Single,1,0
25,Male,Post Graduate,Salaried,None,Entry,173623,10299,Company provided,None,Single,0,0
28,Female,Post Graduate,Professional,None,None,242531,18528,Rented,None,Married,2,0
29,Male,Graduate,Business,None,None,215063,4452,Rented,None,Married,1,0
50,Female,Graduate,Salaried,Tier 3,Mid-level 1,295873,7312,Rented,None,Single,2,0
30,Male,Graduate,Salaried,None,Entry,434242,42936,Rented,Two Wheeler,Married,0,0
22,Male,Post Graduate,Salaried,None,Junior,344833,13575,Owned,Two Wheeler,Single,2,0
31,Female,Graduate,Salaried,None,Mid-level 1,291516,17871,Rented,Two Wheeler,Married,1,1
25,Male,Under Graduate,Salaried,None,Junior,146812,19344,Owned,None,Married,0,0
33,Male,Post Graduate,Business,None,None,275183,11649,Owned,None,Single,2,0
27,Male,Under Graduate,Salaried,Tier 3,Entry,266392,15998,Family,None,Single,0,1
26,Male,Graduate,Professional,None,None,232935,2855,Rented,Two Wheeler,Married,1,0
26,Male,Graduate,Professional,None,None,359512,9605,Rented,None,Single,0,0
27,Male,Graduate,Salaried,None,Mid-level 1,84434,11289,Company provided,None,Single,0,0
59,Male,Other,Salaried,None,Mid-level 1,221315,37259,Rented,None,Single,1,0
29,Female,Graduate,Professional,None,None,279886,3754,Rented,Two Wheeler,Single,0,0
21,Male,Under Graduate,Business,None,None,297850,43594,Rented,None,Married,1,0
36,Female,Graduate,Salaried,None,Mid-level 1,78790,4811,Family,None,Married,1,0
56,Female,Under Graduate,Salaried,None,Mid-level 1,201059,30864,Rented,Four Wheeler,Married,0,0
27,Female,Graduate,Salaried,None,Entry,99801,25014,Company provided,None,Married,0,0
27,Male,Graduate,Business,None,None,53597,10309,Owned,Two Wheeler,Married,0,0
25,Female,Graduate,Salaried,Tier 3,Entry,106128,38059,Owned,None,Married,1,0
35,Male,Under Graduate,Business,None,None,420052,25649,Family,None,Married,0,0
27,Male,Graduate,Salaried,None,Mid-level 1,325709,33496,Owned,None,Single,1,0
25,Male,Graduate,Salaried,Tier 3,Entry,387065,47392,Rented,Two Wheeler,Married,0,0
33,Male,Graduate,Salaried,None,Mid-level 1,308862,19463,Rented,None,Single,0,0
26,Male,Under Graduate,Salaried,Tier 3,Junior,386983,3061,Owned,None,Single,0,0
61,Male,Under Graduate,Salaried,None,Mid-level 1,451808,5721,Rented,None,Single,0,0
25,Female,Post Graduate,Student,None,None,189747,41265,Owned,Two Wheeler,Single,0,0
25,Male,Graduate,Salaried,None,Entry,499564,12208,Company provided,Two Wheeler,Married,0,0
29,Male,Post Graduate,Professional,None,None,277827,12121,Rented,None,Single,2,0
27,Female,Graduate,Student,None,None,336489,40387,Rented,None,Single,2,0
31,Female,Other,Salaried,None,Mid-level 1,193187,30995,Rented,Two Wheeler,Single,0,0
26,Female,Under Graduate,Salaried,None,Junior,171412,35908,Rented,Two Wheeler,Married,1,0
35,Female,Post Graduate,Salaried,None,Mid-level 1,435726,29962,Rented,None,Married,0,0
29,Male,Post Graduate,Salaried,Tier 2,Junior,271396,14967,Company provided,Two Wheeler,Married,0,0
25,Male,Graduate,Salaried,Tier 3,Mid-level 1,420295,3081,Owned,Two Wheeler,Married,0,0
37,Male,Graduate,Salaried,Tier 3,Mid-level 1,333265,13599,Company provided,Two Wheeler,Married,0,0
30,Female,Post Graduate,Salaried,None,Entry,182316,2980,Rented,None,Married,0,0
34,Female,Graduate,Business,None,None,60780,8772,Rented,None,Married,0,0
28,Male,Other,Professional,None,None,75294,14600,Owned,Four Wheeler,Married,2,0
31,Female,Other,Salaried,None,Mid-level 1,467889,29062,Family,None,Married,0,0
26,Male,Graduate,Salaried,None,Mid-level 1,147342,46862,Company provided,Two Wheeler,Married,0,0
31,Male,Graduate,Salaried,None,Mid-level 1,311405,20052,Rented,Two Wheeler,Single,1,0
30,Male,Graduate,Professional,None,None,196340,1002,Rented,None,Single,0,0
28,Male,Graduate,Professional,None,None,289667,23004,Family,None,Single,0,0
25,Male,Other,Salaried,Tier 3,Junior,341049,18494,Owned,Two Wheeler,Other,1,0
25,Male,Other,Business,None,None,81614,28590,Family,None,Married,1,0
33,Male,Post Graduate,Salaried,None,Mid-level 1,71584,16731,Owned,None,Married,0,0
37,Male,Graduate,Salaried,None,Mid-level 1,51571,4542,Owned,Two Wheeler,Married,0,0
21,Male,Under Graduate,Salaried,None,Junior,298345,19489,Rented,Two Wheeler,Single,0,0
27,Male,Graduate,Professional,None,None,139148,22660,Rented,Two Wheeler,Married,1,0
51,Female,Graduate,Salaried,Tier 3,Mid-level 1,445623,1813,Rented,Two Wheeler,Other,0,0
31,Female,Other,Salaried,Tier 2,Mid-level 1,418431,11176,Rented,None,Single,0,0
26,Female,Graduate,Business,None,None,132770,13372,Rented,None,Single,0,0
26,Male,Under Graduate,Professional,None,None,376136,4827,Rented,None,Single,1,0
26,Male,Post Graduate,Student,None,None,124041,42417,Rented,Two Wheeler,Married,0,0
28,Male,Graduate,Salaried,Tier 2,Junior,276735,3817,Family,None,Married,2,0
26,Male,Other,Salaried,Tier 3,Entry,234385,11510,Company provided,Two Wheeler,Single,2,0
27,Female,Graduate,Student,None,None,94300,22706,Family,Two Wheeler,Married,1,1
22,Female,Post Graduate,Salaried,None,Junior,66620,24831,Rented,Two Wheeler,Single,0,0
34,Male,Post Graduate,Salaried,Tier 2,Mid-level 1,233456,10735,Family,None,Married,0,0
27,Male,Post Graduate,Salaried,Tier 3,Junior,290385,12298,Rented,Two Wheeler,Married,0,0
26,Male,Post Graduate,Salaried,None,Mid-level 1,67648,24469,Rented,None,Married,0,0
29,Male,Graduate,Salaried,Tier 3,Mid-level 1,236423,19296,Rented,None,Married,1,0
32,Male,Graduate,Business,None,None,262606,23369,Rented,None,Single,0,0
29,Female,Post Graduate,Salaried,None,Mid-level 1,293532,12259,Rented,Two Wheeler,Married,0,0
29,Male,Graduate,Business,None,None,148301,22168,Rented,None,Married,0,0
63,Female,Post Graduate,Salaried,Tier 2,Mid-level 1,94046,11914,Owned,None,Married,0,0
27,Male,Graduate,Salaried,Tier 3,Entry,219344,23791,Rented,Two Wheeler,Single,0,0
29,Female,Other,Salaried,Tier 3,Junior,376499,6916,Company provided,None,Married,0,0
25,Male,Post Graduate,Salaried,None,Junior,344445,9595,Rented,None,Married,1,0
26,Male,Post Graduate,Salaried,Tier 3,Entry,140157,23505,Rented,None,Married,0,0
28,Male,Under Graduate,Professional,None,None,382797,44221,Rented,Two Wheeler,Married,0,0
24,Male,Graduate,Salaried,Tier 1,Mid-level 1,78109,17692,Rented,None,Married,0,1
26,Male,Other,Business,None,None,273246,13236,Company provided,Two Wheeler,Single,0,0
20,Female,Graduate,Business,None,None,251610,3796,Rented,None,Single,0,0
19,Male,Graduate,Salaried,Tier 1,Junior,253804,20874,Rented,None,Married,0,0
26,Male,Graduate,Salaried,None,Junior,265696,47482,Rented,Two Wheeler,Married,0,0
64,Male,Post Graduate,Salaried,Tier 2,Mid-level 1,274506,46985,Rented,Two Wheeler,Single,0,0
28,Male,Post Graduate,Salaried,None,Junior,421915,23551,Owned,None,Other,0,0
27,Male,Post Graduate,Salaried,Tier 3,Junior,478301,23226,Rented,Two Wheeler,Single,0,0
27,Male,Graduate,Salaried,None,Mid-level 1,279655,23759,Rented,None,Single,0,0
26,Male,Graduate,Professional,None,None,101447,24663,Family,None,Single,0,0
29,Male,Graduate,Business,None,None,188367,8495,Rented,None,Married,2,0
29,Female,Post Graduate,Professional,None,None,289172,12242,Rented,None,Single,2,0
37,Male,Post Graduate,Business,None,None,329026,10503,Owned,Four Wheeler,Married,2,0
26,Female,Graduate,Salaried,None,Junior,149229,12290,Rented,None,Married,0,0
33,Male,Graduate,Professional,None,None,339777,3913,Rented,None,Married,0,0
25,Male,Graduate,Salaried,None,Junior,247326,24511,Rented,Two Wheeler,Married,0,0
31,Male,Graduate,Salaried,Tier 3,Mid-level 1,320630,19529,Company provided,Two Wheeler,Single,0,0
26,Male,Graduate,Salaried,Tier 2,Mid-level 1,259847,22934,Owned,None,Married,0,0
21,Male,Graduate,Salaried,None,Junior,474148,6827,Company provided,Two Wheeler,Single,0,0
20,Male,Post Graduate,Business,None,None,97161,11531,Rented,None,Married,1,0
19,Male,Post Graduate,Salaried,None,Mid-level 1,252854,24926,Family,Four Wheeler,Married,0,0
25,Male,Graduate,Salaried,Tier 3,Mid-level 1,184540,15185,Family,None,Married,1,0
38,Male,Other,Business,None,None,288376,21881,Family,None,Married,1,0
27,Male,Under Graduate,Business,None,None,302544,7703,Rented,None,Single,0,0
24,Male,Post Graduate,Salaried,None,Junior,77342,23064,Owned,None,Single,0,0
25,Female,Graduate,Salaried,None,Junior,243211,17341,Rented,None,Married,1,0
24,Male,Graduate,Salaried,Tier 2,Entry,212593,7160,Rented,None,Single,2,0
21,Female,Graduate,Salaried,None,Junior,349459,49016,Rented,Two Wheeler,Single,0,0
52,Male,Post Graduate,Salaried,None,Mid-level 1,449947,2613,Owned,Two Wheeler,Single,0,0
24,Male,Graduate,Student,None,None,479527,18562,Rented,None,Married,0,0
46,Male,Graduate,Professional,None,None,172838,48363,Rented,None,Single,0,0
26,Male,Under Graduate,Salaried,Tier 3,Mid-level 1,577311,22121,Rented,None,Married,0,0
25,Male,Post Graduate,Professional,None,None,473188,2806,Family,None,Single,1,0
38,Male,Graduate,Salaried,Tier 3,Mid-level 1,460545,8888,Family,None,Single,0,0
24,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,376355,27233,Rented,None,Married,0,0
28,Male,Graduate,Professional,None,None,199136,14634,Family,Four Wheeler,Single,2,0
20,Male,Post Graduate,Business,None,None,676307,36261,Rented,Two Wheeler,Married,2,0
24,Male,Graduate,Business,None,None,134791,11947,Rented,None,Married,1,0
56,Male,Post Graduate,Salaried,None,Mid-level 1,496834,8868,Rented,Two Wheeler,Single,0,0
28,Male,Graduate,Professional,None,None,168364,3479,Owned,None,Single,0,0
26,Male,Post Graduate,Business,None,None,384874,20731,Rented,None,Married,0,1
34,Male,Graduate,Business,None,None,498834,1211,Rented,None,Married,0,0
27,Male,Graduate,Salaried,Tier 1,Entry,223216,31158,Rented,None,Other,0,0
28,Male,Graduate,Business,None,None,223946,1244,Rented,Two Wheeler,Single,0,0
27,Male,Post Graduate,Business,None,None,286247,14484,Owned,Two Wheeler,Other,0,0
37,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,129782,48165,Rented,None,Married,0,0
26,Male,Post Graduate,Professional,None,None,169874,7339,Owned,None,Married,0,0
25,Male,Graduate,Salaried,Tier 3,Junior,134140,35033,Rented,Two Wheeler,Single,0,0
63,Male,Graduate,Salaried,Tier 3,Mid-level 1,468348,1821,Rented,Two Wheeler,Married,0,0
33,Male,Graduate,Professional,None,None,473276,9374,Rented,Two Wheeler,Other,0,0
30,Male,Graduate,Business,None,None,361052,3889,Rented,None,Married,1,0
27,Female,Post Graduate,Salaried,None,Entry,201358,19548,Rented,None,Married,1,0
25,Male,Post Graduate,Salaried,Tier 3,Mid-level 1,467482,10183,Rented,None,Single,1,0
21,Male,Graduate,Salaried,None,Mid-level 1,266583,15630,Company provided,None,Single,0,0
28,Female,Post Graduate,Salaried,Tier 3,Junior,359224,8487,Family,None,Married,0,0
51,Male,Graduate,Salaried,Tier 1,Mid-level 1,447208,24777,Rented,Two Wheeler,Married,1,0
30,Female,Other,Salaried,None,Junior,332017,8573,Owned,Four Wheeler,Single,0,0
30,Male,Post Graduate,Salaried,Tier 2,Entry,112462,3208,Rented,None,Married,2,1
39,Female,Graduate,Salaried,Tier 3,Mid-level 1,58946,33019,Rented,Four Wheeler,Married,2,0
24,Male,Post Graduate,Salaried,None,Entry,282092,24787,Owned,Two Wheeler,Married,0,0
29,Male,Graduate,Salaried,None,Entry,53072,44562,Rented,None,Married,0,0
51,Female,Graduate,Salaried,Tier 3,Mid-level 1,114172,18971,Rented,Two Wheeler,Married,1,1
37,Male,Graduate,Salaried,None,Mid-level 1,81271,39639,Owned,Two Wheeler,Single,0,0
38,Male,Graduate,Student,None,None,174614,41765,Owned,None,Other,2,0
35,Male,Other,Salaried,None,Mid-level 1,256509,30983,Rented,Two Wheeler,Married,0,0
18,Male,Graduate,Business,None,None,468327,17081,Rented,None,Single,0,0
26,Female,Graduate,Business,None,None,380532,30280,Family,None,Married,0,0
49,Male,Other,Business,None,None,252380,40273,Rented,None,Married,0,0
26,Female,Other,Professional,None,None,123513,14792,Rented,Two Wheeler,Married,0,0
25,Male,Post Graduate,Business,None,None,90301,5041,Rented,None,Single,0,0
26,Female,Graduate,Salaried,Tier 3,Mid-level 1,314153,41546,Rented,None,Married,0,0
26,Male,Graduate,Salaried,None,Mid-level 1,125556,6343,Rented,None,Married,0,0
19,Female,Graduate,Professional,None,None,224741,10120,Rented,Two Wheeler,Single,0,0
33,Female,Post Graduate,Salaried,Tier 3,Mid-level 1,241650,6530,Rented,None,Single,1,0
41,Female,Other,Salaried,None,Mid-level 1,63059,10895,Rented,None,Single,0,0
28,Female,Graduate,Business,None,None,293825,18830,Owned,Two Wheeler,Single,0,0
27,Female,Graduate,Salaried,None,Entry,392830,3187,Owned,None,Single,0,0
30,Male,Post Graduate,Professional,None,None,499754,19349,Rented,None,Single,0,0
29,Male,Graduate,Salaried,Tier 1,Entry,372337,14525,Owned,None,Married,2,0
25,Male,Graduate,Student,None,None,233582,15562,Rented,None,Married,1,0
29,Male,Graduate,Professional,None,None,217557,13790,Rented,Four Wheeler,Single,1,0
56,Male,Graduate,Salaried,Tier 2,Mid-level 1,107425,14312,Rented,None,Married,0,0
29,Male,Post Graduate,Salaried,None,Mid-level 1,258719,18566,Company provided,Two Wheeler,Single,1,0
18,Female,Graduate,Salaried,None,Junior,267420,19986,Rented,None,Married,2,0
29,Male,Graduate,Salaried,Tier 1,Mid-level 1,292886,5462,Rented,Two Wheeler,Married,1,1
24,Male,Graduate,Salaried,None,Mid-level 1,133860,20849,Family,None,Single,0,0
28,Male,Post Graduate,Salaried,Tier 2,Mid-level 1,295300,48084,Rented,None,Married,0,0
26,Male,Graduate,Salaried,Tier 3,Mid-level 1,478507,5431,Rented,None,Married,0,0
26,Male,Under Graduate,Salaried,Tier 1,Entry,421182,8658,Owned,None,Married,1,0
26,Male,Other,Salaried,None,Junior,214075,44811,Rented,None,Single,0,0
32,Male,Post Graduate,Salaried,None,Mid-level 1,334396,5304,Company provided,None,Single,0,0
25,Female,Graduate,Salaried,Tier 2,Entry,425563,5253,Family,Two Wheeler,Married,0,0
29,Female,Graduate,Salaried,Tier 3,Mid-level 1,156887,14027,Rented,None,Married,0,0
26,Male,Post Graduate,Professional,None,None,238729,21256,Rented,None,Married,0,0
39,Male,Graduate,Salaried,Tier 3,Mid-level 1,69092,9412,Owned,None,Married,0,0
24,Male,Graduate,Salaried,Tier 2,Entry,168124,10401,Owned,None,Married,0,0
26,Male,Post Graduate,Salaried,None,Entry,574737,29781,Owned,None,Married,0,1
28,Male,Graduate,Professional,None,None,183362,22994,Owned,None,Married,0,0
25,Male,Post Graduate,Professional,None,None,328057,5783,Company provided,None,Single,0,0
22,Male,Under Graduate,Salaried,None,Mid-level 1,217119,20462,Rented,None,Married,2,0
28,Male,Graduate,Salaried,Tier 3,Mid-level 1,67020,6460,Rented,None,Married,0,0
41,Male,Post Graduate,Salaried,Tier 2,Mid-level 1,411316,13174,Family,Two Wheeler,Single,1,0
29,Female,Post Graduate,Student,None,None,150037,1902,Family,Two Wheeler,Single,1,0
36,Male,Post Graduate,Salaried,None,Mid-level 1,69456,15772,Owned,Two Wheeler,Married,1,0
25,Male,Graduate,Salaried,Tier 3,Junior,114545,4215,Rented,Two Wheeler,Married,0,0
34,Male,Post Graduate,Salaried,None,Mid-level 1,376571,15282,Rented,None,Married,0,0
26,Female,Graduate,Student,None,None,331232,8644,Owned,Two Wheeler,Single,0,0
